	Kingdom	Phylum	Class	Order	Family	Genus
OTU_5105	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_ge
OTU_5106	Bacteria	Firmicutes	Bacilli	uncultured	uncultured_fa	uncultured_ge
OTU_5107	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
OTU_5108	Bacteria	WPS-2	WPS-2_cl	WPS-2_or	WPS-2_fa	WPS-2_ge
OTU_5109	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Desulfotomaculales_fa	Pelotomaculum
OTU_511	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacteraceae_unclassified
OTU_5110	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	Limnochordaceae_ge
OTU_5111	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	cvE6_ge
OTU_5112	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_fa	0319-6G20_ge
OTU_5113	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	uncultured
OTU_5114	Bacteria	Gemmatimonadota	BD2-11_terrestrial_group	BD2-11_terrestrial_group_or	BD2-11_terrestrial_group_fa	BD2-11_terrestrial_group_ge
OTU_5115	Bacteria	Chloroflexi	OLB14	OLB14_or	OLB14_fa	OLB14_ge
OTU_5116	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured
OTU_5117	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter
OTU_5118	Bacteria	Actinobacteriota	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
OTU_5119	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_512	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured
OTU_5120	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_5121	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
