	otu	otu_occ	otu_rel
578	OTU_2423	0.025000000	3.189918e-07
579	OTU_8768	0.041666667	2.027287e-07
580	OTU_3223	0.008333333	2.771074e-07
581	OTU_7488	0.025000000	3.972189e-07
582	OTU_8303	0.025000000	3.031351e-07
583	OTU_7760	0.016666667	4.229624e-07
584	OTU_150	0.050000000	2.662822e-07
585	OTU_923	0.050000000	2.389040e-07
586	OTU_6187	0.050000000	5.166943e-07
587	OTU_12420	0.050000000	5.535180e-07
588	OTU_133	0.016666667	3.023888e-07
589	OTU_207	0.050000000	2.918634e-07
590	OTU_217	0.050000000	1.934882e-07
591	OTU_201	0.025000000	2.676917e-07
592	OTU_592	0.050000000	2.218204e-07
593	OTU_381	0.033333333	4.481264e-07
594	OTU_3502	0.050000000	3.400636e-07
595	OTU_2748	0.041666667	2.642975e-07
596	OTU_9862	0.041666667	3.586154e-07
597	OTU_649	0.050000000	2.733969e-07
598	OTU_1558	0.041666667	2.384485e-07
599	OTU_3113	0.025000000	2.700724e-07
600	OTU_3775	0.016666667	1.283134e-07
601	OTU_11293	0.033333333	2.558490e-07
602	OTU_898	0.016666667	2.711112e-07
603	OTU_9656	0.050000000	3.564329e-07
604	OTU_10929	0.050000000	2.689981e-07
605	OTU_7512	0.033333333	2.705136e-07
606	OTU_2306	0.041666667	4.399093e-07
607	OTU_733	0.050000000	2.496612e-07
608	OTU_1527	0.025000000	1.306119e-06
609	OTU_8424	0.033333333	2.822569e-07
610	OTU_8904	0.008333333	3.763048e-07
611	OTU_13096	0.041666667	3.790777e-07
612	OTU_6080	0.050000000	2.126591e-07
613	OTU_1134	0.025000000	2.158757e-07
614	OTU_4125	0.033333333	5.211836e-07
615	OTU_10973	0.050000000	3.398708e-07
616	OTU_13359	0.016666667	3.769159e-07
